"","P1","P2","P3","P4","P5","P6"
"W 1",3,424,3573989,49,0.452683318173513,1.98176916678178
"W 2",7,820,1357385,84,0.32551896199584,1.95997993017965
"W 3",6,941,1646223,28,0.37638475978747,1.09597163740546
"W 4",1,156,418657,68,0.575082356808707,5.56474281909102
"W 5",2,927,2426090,77,0.349691161885858,10.9186432224916
"W 6",8,613,2469560,19,0.0306474729441106,12.7298226619238
"W 7",2,116,4717151,8,0.644335613586009,3.40671012400392
"W 8",4,963,4036848,55,0.337712264386937,1.67521291179582
"W 9",4,685,717121,36,0.0752464453689754,5.41184131814732
"W 10",5,214,521642,15,0.23633769294247,0.184877634631218
"W 11",4,850,2141215,28,0.923954655183479,0.0549061785419017
"W 12",4,449,2650839,35,0.408193462295458,5.10613641214973
"W 13",7,836,4898232,62,0.787269608583301,3.43087310426611
"W 14",4,592,4618749,2,0.411191614344716,1.26816077507101
"W 15",4,965,4434749,93,0.158248302061111,2.31384937408122
"W 16",10,491,1255722,30,0.530865732347593,4.44871174150562
"W 17",1,306,980011,75,0.991340196225792,1.99876230326803
"W 18",10,272,1140519,38,0.618780774530023,3.0134069941819
"W 19",3,328,2246914,28,0.452269115485251,3.37113511272448
"W 20",1,256,2208866,95,0.480822611600161,2.23003079405728
"W 21",3,400,2036270,64,0.73385324398987,0.837571099661139
"W 22",3,777,4170260,86,0.207576807588339,1.18933305301726
"W 23",9,435,3345838,24,0.759768420131877,0.536295538254403
"W 24",2,898,3197540,34,0.215321267023683,3.56097393648183
"W 25",2,861,2840464,49,0.542975515592843,2.03831219802353
"W 26",7,747,1524713,88,0.807657516794279,5.55845216165908
"W 27",8,839,1690536,89,0.253418581094593,0.147795759839937
"W 28",4,798,1443626,3,0.414880246389657,0.057666233042255
"W 29",9,625,193761,11,0.460464302217588,0.210105758160353
"W 30",3,273,4928282,89,0.803150897612795,4.77914690491479
"W 31",10,979,1254104,49,0.92300788545981,1.82264843765226
"W 32",8,943,3109092,66,0.109888728708029,0.620175461517647
"W 33",7,669,1927695,31,0.258577095577493,3.25908706745806
"W 34",5,267,2367276,85,0.787330612307414,0.486520674566063
"W 35",4,520,4317308,16,0.136558753671125,4.4880540871926
"W 36",3,550,2756236,72,0.221866185544059,0.505632449639961
"W 37",1,631,3639990,98,0.534769017016515,0.673824605054212
"W 38",5,285,4116562,2,0.962448027916253,0.0654710545946593
"W 39",1,447,2722807,44,0.770445291884243,0.262772621152565
"W 40",4,452,4968829,31,0.190746139269322,0.796920986613259
"W 41",5,121,854312,40,0.334702970925719,4.47331558891988
"W 42",9,134,3443296,8,0.836986332200468,0.148103484794152
"W 43",5,637,3877906,24,0.758595638442785,1.83384076636541
"W 44",2,620,3296719,5,0.4554727175273,0.96874653478153
"W 45",10,321,2423900,14,0.431524373125285,3.73877536623498
"W 46",7,403,4684862,79,0.335452869534492,1.01017530722874
"W 47",4,176,1510453,19,0.562063227407634,1.80712572610287
"W 48",9,587,180126,7,0.661118891555816,4.91857289315617
"W 49",4,641,3098048,44,0.815157808596268,5.11390051783478
"W 50",7,364,3427378,20,0.917132525006309,5.74710485959584
